count.of.agents,random.seed,stop.at
100,1544058824,2
100,1544058832,2
100,1544058834,2
100,1544058835,2
100,1544059287,2
100,1544060709,2
100,1544060769,2
100,1544060868,2
100,1544060945,2
100,1544060957,2
100,1544061083,2
100,1544061240,2
100,1544061278,2
100,1544061430,2
100,1544061469,2
100,1544061749,2
100,1544061826,2
100,1544062662,2
100,1544062701,2
100,1544062910,2
100,1544063013,2
100,1544099067,2
100,1544099284,2
100,1544100028,2
100,1544100308,2
100,1544100340,2
100,1544100365,2
100,1544100373,2
100,1544101596,2
100,1544101600,2
100,3,2
100,3,2
100,3,2
100,3,2
100,3,2
100,3,2
100,3,2
100,3,2
100,3,2
100,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
10,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,2
3,3,3
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
10,3,5
500,3,5
5,3,5
5,3,5
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
50,3,500
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,1144
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
100,3,50
100,3,50
100,3,50
100,3,50
500,3,50
500,3,50
500,3,50
500,3,500
500,3,500
500,3,500
500,3,50
500,3,50
500,3,50
500,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,50
50,3,500
50,3,500
500,3,500
500,3,100
500,3,100
500,3,100
500,3,100
500,3,500
500,3,500
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
500,3,50
1000,3,100
500,3,1000
500,3,1000
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,100
500,3,200
500,3,100
500,3,200
500,3,100
500,3,100
500,3,100
